Unnamed: 0,Character,Japanese name,Japanese reading,School,Age,Birthday,Height,Hobbies,Designer,Illustrator,Lobby illustrator,Voiced by,Release date (JP),Image URL
,Chiaki,元宮(もとみや) チアキ,Motomiya Chiaki,Gehenna,16,September 22,167cm,"Weekly magazine publication, making friends",dydldidl,dydldidl,dydldidl,Kanno Mai,2024/11/20,https://static.wikitide.net/bluearchivewiki/thumb/a/a4/Chiaki.png/266px-Chiaki.png
,Chihiro,各務(かがみ) チヒロ,Kagami Chihiro,Millennium,17,April 26,160cm,Shopping for electronics,ni02,ni02,,Hibiku Yamamura,2022/01/30,https://static.wikitide.net/bluearchivewiki/thumb/a/a7/Chihiro.png/266px-Chihiro.png
,Chinatsu,火宮(ひのみや) チナツ,Hinomiya Chinatsu,Gehenna,15,August 22,159cm,Reading philosophy books,Mx2J,Mx2J,,Kouzuki Haruka,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/b/b6/Chinatsu.png/266px-Chinatsu.png
,Chise,和楽(わらく) チセ,Waraku Chise,Hyakkiyako,16,July 13,159cm,Haiku,Hwansang,Hwansang,,Shimamura Yuu,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/d/d0/Chise.png/266px-Chise.png
,Eimi,和泉元(いずみもと) エイミ,Izumimoto Eimi,Millennium,15,May 1,167cm,"Zoning out, listening to music",ポップキュン (POPQN),ポップキュン (POPQN),,Matsunaga Akane,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/e/ed/Eimi.png/266px-Eimi.png
,Eri,白尾(しらお) エリ,Shirao Eri,Wildhunt,16,October 31,158cm,"Tarot reading, occult books",GULIM,GULIM,,Imaizumi Riona,2025/08/20,https://static.wikitide.net/bluearchivewiki/thumb/d/da/Eri.png/266px-Eri.png
,Erika,旗見(はたみ) エリカ,Hatami Erika,Gehenna,16,February 1,166cm,"Window shopping, collecting shopping catalogs",sabet,DoReMi,,Nakano Saima,2026/05/20,https://static.wikitide.net/bluearchivewiki/thumb/c/c0/Erika.png/266px-Erika.png
,Fubuki,合歓垣(ねむがき) フブキ,Nemugaki Fubuki,Valkyrie,15,October 21,148cm,"Crosswords, radio",ミミトケ (Mimitoke),ミミトケ (Mimitoke),,Emi Hirayama,2022/01/26,https://static.wikitide.net/bluearchivewiki/thumb/c/cd/Fubuki.png/266px-Fubuki.png
,Fuuka,愛清(あいきよ) フウカ,Aikiyo Fuuka,Gehenna,16,April 30,159cm,"Home cooking, making bento",ヌードル (Noodle),ヌードル (Noodle),,Fairouz Ai,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/1/1f/Fuuka.png/266px-Fuuka.png
,Fuyu,若狭(わかさ) フユ,Wakasa Fuyu,Wildhunt,16,September 5,173cm,"Watching TV, modifying home appliances",Paruru,Paruru,ramuri,Juni Ryoko,2025/09/24,https://static.wikitide.net/bluearchivewiki/thumb/a/a9/Fuyu.png/266px-Fuyu.png
,Hanae,朝顔(あさがお) ハナエ,Asagao Hanae,Trinity,15,May 12,150cm,"Dance, cheerleading",tonito,tonito,,Yūki Kana,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/7/72/Hanae.png/266px-Hanae.png
,Hanako,浦和(うらわ) ハナコ,Urawa Hanako,Trinity,16,January 3,161cm,Wandering around,Hwansang,Hwansang,,Moe Toyota,2021/05/27,https://static.wikitide.net/bluearchivewiki/thumb/9/9c/Hanako.png/266px-Hanako.png
,Hare,小鈎(おまがり) ハレ,Omagari Hare,Millennium,16,April 19,153cm,"Video games, watching movies",9ml,9ml,,Kaihara Reina,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/4/47/Hare.png/266px-Hare.png
,Haruka,伊草(いぐさ) ハルカ,Igusa Haruka,Gehenna,15,May 13,157cm,Growing weeds,DoReMi,DoReMi,,Ishitobi Erika,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/b/b1/Haruka.png/266px-Haruka.png
,Haruna,黒舘(くろだて) ハルナ,Kurodate Haruna,Gehenna,17,March 1,163cm,Looking for delicious things,whoisshe,whoisshe,,Tadokoro Azusa,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/a/a6/Haruna.png/266px-Haruna.png
,Hasumi,羽川(はねかわ) ハスミ,Hanekawa Hasumi,Trinity,17,December 12,179cm,"Reading, watching people",Mx2J,Mx2J,,Asami Seto,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/8/84/Hasumi.png/266px-Hasumi.png
,Hatsune Miku,初音(はつね) ミク,Hatsune Miku,ETC,16,August 31,158cm,"Singing, dancing",YutokaMizu,YutokaMizu,,Saki Fujita,2021/11/03,https://static.wikitide.net/bluearchivewiki/thumb/9/93/Hatsune_Miku.png/266px-Hatsune_Miku.png
,Hibiki,猫塚(ねこづか) ヒビキ,Nekozuka Hibiki,Millennium,15,April 2,154cm,"Shopping, cosplay",ミミトケ (Mimitoke),ミミトケ (Mimitoke),,Nazuka Kaori,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/b/bc/Hibiki.png/266px-Hibiki.png
,Hifumi,阿慈谷(あじたに) ヒフミ,Ajitani Hifumi,Trinity,16,November 27,158cm,"Collecting Peroro goods, collecting cute things, shopping, giving advice",Hwansang,Hwansang,,Hondo Kaede,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/3/3b/Hifumi.png/266px-Hifumi.png
,Hikari,橘(たちばな) ヒカリ,Tachibana Hikari,Highlander,15,June 14,147cm,"(Stunt) Driving lessons, ant observation",CHILD,CHILD,Blanchat,Iwami Manaka,2025/04/22,https://static.wikitide.net/bluearchivewiki/thumb/e/ee/Hikari.png/266px-Hikari.png
,Himari,明星(あけぼし) ヒマリ,Akeboshi Himari,Millennium,17,December 10,162cm,"Fortune-telling, occult in general",MISOM150,MISOM150,,ゆかな (Yukana),2022/11/16,https://static.wikitide.net/bluearchivewiki/thumb/5/5a/Himari.png/266px-Himari.png
,Hina,空崎(そらさき) ヒナ,Sorasaki Hina,Gehenna,17,February 19,142cm,"Sleeping, resting",DoReMi,DoReMi,,Hirohashi Ryō,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/8/83/Hina.png/266px-Hina.png
,Hinata,若葉(わかば) ヒナタ,Wakaba Hinata,Trinity,17,May 17,166cm,"Prayer, tidying up",tonito,tonito,,Rina Hidaka,2022/02/23,https://static.wikitide.net/bluearchivewiki/thumb/9/97/Hinata.png/266px-Hinata.png
,Hiyori,槌永(つちなが) ヒヨリ,Tsuchinaga Hiyori,Arius,16,January 8,155cm,Collecting magazines,9ml,9ml,,Mai Nakahara,2022/05/24,https://static.wikitide.net/bluearchivewiki/thumb/7/76/Hiyori.png/266px-Hiyori.png
,Hoshino,小鳥遊(たかなし) ホシノ,Takanashi Hoshino,Abydos,17,January 2,145cm,"Afternoon naps, lazing around",9ml,9ml,,Hanamori Yumiri,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/a/a9/Hoshino.png/266px-Hoshino.png
,Ibuki,丹花(たんが) イブキ,Tanga Ibuki,Gehenna,11,April 14,128cm,"Homework, collecting stuffed animals",ビョルチ (Byul_zzi),ビョルチ (Byul_zzi),,Haruse Natsumi,2024/01/24,https://static.wikitide.net/bluearchivewiki/thumb/7/75/Ibuki.png/266px-Ibuki.png
,Ichika,仲正(なかまさ) イチカ,Nakamasa Ichika,Trinity,16,November 11,163cm,"Helping people, trying her hand at various jobs",7peach,7peach,CHILD,Sumi Tomomi Jiena,2023/09/27,https://static.wikitide.net/bluearchivewiki/thumb/b/b3/Ichika.png/266px-Ichika.png
,Iori,銀鏡(しろみ) イオリ,Shiromi Iori,Gehenna,16,November 8,157cm,"Patrolling, raising her voice",Mx2J,Mx2J,,Sakura Ayane,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/2/26/Iori.png/266px-Iori.png
,Iroha,棗(なつめ) イロハ,Natsume Iroha,Gehenna,16,November 16,151cm,"Reading, skipping classes",DoReMi,DoReMi,,Misato Fukuen,2022/04/27,https://static.wikitide.net/bluearchivewiki/thumb/b/bf/Iroha.png/266px-Iroha.png
,Izumi,獅子堂(ししどう) イズミ,Shishidou Izumi,Gehenna,16,May 11,161cm,Making and eating strange foods,Mx2J,Mx2J,,Kubo Yurika,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/1/10/Izumi.png/266px-Izumi.png
,Izuna,久田(くだ) イズナ,Kuda Izuna,Hyakkiyako,15,December 16,155cm,"Studying ninja arts, escorting her lord",はねこと (Hanekoto),はねこと (Hanekoto),,Kana Asumi,2021/02/25,https://static.wikitide.net/bluearchivewiki/thumb/5/54/Izuna.png/266px-Izuna.png
,Junko,赤司(あかし) ジュンコ,Akashi Junko,Gehenna,15,December 27,149cm,Gourmet tour,DoReMi,DoReMi,,Kanemoto Hisako,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/3/3c/Junko.png/266px-Junko.png
,Juri,牛牧(うしまき) ジュリ,Ushimaki Juri,Gehenna,15,October 20,170cm,Self-styled culinary research,nino,nino,,Tanabe Rui,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/3/37/Juri.png/266px-Juri.png
,Kaede,勇美(いさみ) カエデ,Isami Kaede,Hyakkiyako,15,July 9,142cm,"Mischief (she tries to hold back as much as possible), catching beetles",kokosando,kokosando,,Emiri Kato,2022/04/27,https://static.wikitide.net/bluearchivewiki/thumb/f/f0/Kaede.png/266px-Kaede.png
,Kaho,桑上(くわかみ) カホ,Kuwakami Kaho,Hyakkiyako,17,October 9,173cm,"Promoting Hyakkiyako culture, Collecting Hyakkiyako merchandise",7peach,7peach,7peach,Matsui Eriko,2023/04/12,https://static.wikitide.net/bluearchivewiki/thumb/6/63/Kaho.png/266px-Kaho.png
,Kanna,尾刃(おがた) カンナ,Ogata Kanna,Valkyrie,17,September 7,166cm,"Reading, watching movies (detectives)",kokosando,kokosando,kokosando,Matsuoka Misato,2023/01/31,https://static.wikitide.net/bluearchivewiki/thumb/4/47/Kanna.png/266px-Kanna.png
,Kanoe,板垣(いたがき) カノエ,Itagaki Kanoe,Wildhunt,17,November 2,144cm,Daydreaming,GULIM,GULIM,,Hyōsei (Yokote Kumiko),2025/08/20,https://static.wikitide.net/bluearchivewiki/thumb/a/a7/Kanoe.png/266px-Kanoe.png
,Karin,角楯(かくだて) カリン,Kakudate Karin,Millennium,16,February 2,170cm,Cleaning,Mx2J,Mx2J,,Numakura Manami,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/5/50/Karin.png/266px-Karin.png
,Kasumi,鬼怒川(きぬがわ) カスミ,Kinugawa Kasumi,Gehenna,16,May 24,148cm,"Blasting, hot spring development",Mx2J,Mx2J,Billbung,Uesaka Sumire,2023/09/27,https://static.wikitide.net/bluearchivewiki/thumb/6/6b/Kasumi.png/266px-Kasumi.png
,Kayoko,鬼方(おにかた) カヨコ,Onikata Kayoko,Gehenna,18,March 17,157cm,Collecting CDs,DoReMi,DoReMi,,Fujī Yukiyo,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/a/a5/Kayoko.png/266px-Kayoko.png
,Kazusa,杏山(きょうやま) カズサ,Kyouyama Kazusa,Trinity,15,August 5,155cm,"Eating ""regular"" sweets",ミモザ (Mimosa),Mx2J,,Natsuyoshi Yuuko,2022/08/24,https://static.wikitide.net/bluearchivewiki/thumb/b/b3/Kazusa.png/266px-Kazusa.png
,Kei,天童(てんどう) ケイ,Tendou Kei,Millennium,??,March 25,152cm,"Taking care of Arisu, fashion, games (she denies it)",GULIM,GULIM,,Minami Tanaka,2026/01/29,https://static.wikitide.net/bluearchivewiki/thumb/a/a1/Kei.png/266px-Kei.png
,Kikyou,桐生(きりゅう) キキョウ,Kiryuu Kikyou,Hyakkiyako,16,August 8,160cm,"Cat's cradle, reading military books, sunbathing",Mx2J,Mx2J,Mx2J,Komatsu Mikako,2023/11/22,https://static.wikitide.net/bluearchivewiki/thumb/6/62/Kikyou.png/266px-Kikyou.png
,Kirara,夜桜(よざくら) キララ,Yozakura Kirara,Gehenna,16,February 24,159cm,Chatting,桧野ひなこ (Hino Hinaco),Mx2J,Paruru,Yamashita Nanami,2024/05/08,https://static.wikitide.net/bluearchivewiki/thumb/3/3f/Kirara.png/266px-Kirara.png
,Kirino,中務(なかつかさ) キリノ,Nakatsukasa Kirino,Valkyrie,15,October 22,161cm,Eating on the go,日下雲 (Kusaka Kumo),DoReMi,,Nakajima Yui,2021/08/26,https://static.wikitide.net/bluearchivewiki/thumb/8/85/Kirino.png/266px-Kirino.png
,Kisaki,竜華(りゅうげ) キサキ,Ryuuge Kisaki,Shanhaijing,17,February 19,142cm,"Tea ceremony, traveling incognito",YutokaMizu,YutokaMizu,DoReMi,Aisaka Yūka,2024/09/25,https://static.wikitide.net/bluearchivewiki/thumb/5/55/Kisaki.png/266px-Kisaki.png
,Koharu,下江(しもえ) コハル,Shimoe Koharu,Trinity,15,April 16,148cm,"Fantasizing, daydreaming, collecting lewd magazines",DoReMi,DoReMi,,Hikaru Akao,2021/06/10,https://static.wikitide.net/bluearchivewiki/thumb/c/c3/Koharu.png/266px-Koharu.png
,Kokona,春原(すのはら) ココナ,Sunohara Kokona,Shanhaijing,11,June 1,139cm,Reading picture books,seicoh,seicoh,,Igarashi Hiromi,2022/09/21,https://static.wikitide.net/bluearchivewiki/thumb/8/83/Kokona.png/266px-Kokona.png
,Kokoro,渡海(とうみ) ココロ,Toumi Kokoro,Odyssey,16,June 11,165cm,"Diving, cooking, singing (alone)",kokosando,Yadoru,,Momose Sana,2026/08/26,https://static.wikitide.net/bluearchivewiki/thumb/0/05/Kokoro.png/266px-Kokoro.png
,Konoka,志真(しま) コノカ,Shima Konoka,Valkyrie,16,August 19,165cm,"Using a massage chair, solving newspaper crossword puzzles",dydldidl,dydldidl,,Sembongi Sayaka,2026/03/18,https://static.wikitide.net/bluearchivewiki/thumb/3/35/Konoka.png/266px-Konoka.png
,Kotama,音瀬(おとせ) コタマ,Otose Kotama,Millennium,17,January 5,158cm,"Radio communication, wiretapping",mona,mona,,Takagawa Mina,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/9/94/Kotama.png/266px-Kotama.png
,Kotone,淵上(ふちがみ) コトネ,Fuchigami Kotone,Odyssey,16,October 16,171cm,"Diving, reading, radio communication",kokosando,ramuri,,Amane Yukari,2026/08/26,https://static.wikitide.net/bluearchivewiki/thumb/d/d8/Kotone.png/266px-Kotone.png
,Kotori,豊見(とよみ) コトリ,Toyomi Kotori,Millennium,15,December 31,151cm,Talking,三脚たこ (Sankyaku Tako),三脚たこ (Sankyaku Tako),,Shinohara Narumi,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/a/ab/Kotori.png/266px-Kotori.png
,Koyuki,黒崎(くろさき) コユキ,Kurosaki Koyuki,Millennium,15,February 14,149cm,"Gambling, escapes",MISOM150,MISOM150,MISOM150,Inui Natsune,2023/03/08,https://static.wikitide.net/bluearchivewiki/thumb/a/af/Koyuki.png/266px-Koyuki.png
,Kurumi,高倉(たかくら) クルミ,Takakura Kurumi,SRT,17,September 30,151cm,"Collecting stickers, cleaning",CHILD,CHILD,,Tachibana Ichika,2026/04/21,https://static.wikitide.net/bluearchivewiki/thumb/0/01/Kurumi.png/266px-Kurumi.png
,Maki,小塗(こぬり) マキ,Konuri Maki,Millennium,15,August 1,149cm,"Graffiti, video games",9ml,9ml,,Mikami Shiori,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/2/21/Maki.png/266px-Maki.png
,Makoto,羽沼(はぬま) マコト,Hanuma Makoto,Gehenna,18,March 19,169cm,"Stratagems, tricks, playing with Ibuki",春夏冬ゆう (Akinashi Yuu),DoReMi,,Asakawa Yuu,2024/01/24,https://static.wikitide.net/bluearchivewiki/thumb/2/20/Makoto.png/266px-Makoto.png
,Mari,伊落(いおち) マリー,Iochi Mari,Trinity,15,September 12,151cm,"Prayer, thinking",Vinoker,DoReMi,,Ozawa Ari,2021/10/27,https://static.wikitide.net/bluearchivewiki/thumb/4/4f/Mari.png/266px-Mari.png
,Marina,池倉(いけくら) マリナ,Ikekura Marina,Red Winter,16,November 4,166cm,"Walks, charges",Mx2J,Mx2J,,Sachie Hirai,2022/03/08,https://static.wikitide.net/bluearchivewiki/thumb/9/9d/Marina.png/266px-Marina.png
,Mashiro,静山(しずやま) マシロ,Shizuyama Mashiro,Trinity,15,June 5,155cm,"Climbing to high places, keeping an observation diary",ポップキュン (POPQN),ポップキュン (POPQN),,Kitō Akari,2021/02/11,https://static.wikitide.net/bluearchivewiki/thumb/0/06/Mashiro.png/266px-Mashiro.png
,Megu,下倉(しもくら) メグ,Shimokura Megu,Gehenna,17,April 25,164cm,Demolition,NAMYO,NAMYO,7peach,Aihara Arisa,2023/01/31,https://static.wikitide.net/bluearchivewiki/thumb/d/d4/Megu.png/266px-Megu.png
,Meru,姫木(ひめき) メル,Himeki Meru,Red Winter,16,December 21,137cm,"Drawing manga, shipping",ぶくろて,ぶくろて,,Arai Satomi,2023/08/23,https://static.wikitide.net/bluearchivewiki/thumb/4/4f/Meru.png/266px-Meru.png
,Michiru,千鳥(ちどり) ミチル,Chidori Michiru,Hyakkiyako,17,February 22,153cm,Inventing new ninjutsu and making videos,seicoh,seicoh,,Kaori Mizuhashi,2022/04/27,https://static.wikitide.net/bluearchivewiki/thumb/e/e6/Michiru.png/266px-Michiru.png
,Midori,才羽(さいば) ミドリ,Saiba Midori,Millennium,15,December 8,143cm,Drawing pictures,キキ (Kiki),キキ (Kiki),,Takada Yūki,2021/04/08,https://static.wikitide.net/bluearchivewiki/thumb/e/ee/Midori.png/266px-Midori.png
,Mika,聖園(みその) ミカ,Misono Mika,Trinity,17,May 8,157cm,"Chatting, collecting accessories",YutokaMizu,YutokaMizu,YutokaMizu,Tōyama Nao,2023/01/24,https://static.wikitide.net/bluearchivewiki/thumb/c/c8/Mika.png/266px-Mika.png
,Mimori,水羽(みずは) ミモリ,Mizuha Mimori,Hyakkiyako,16,March 15,156cm,"Shojo manga, doing household chores",tokki,tokki,,Rie Tanaka,2022/02/09,https://static.wikitide.net/bluearchivewiki/thumb/8/82/Mimori.png/266px-Mimori.png
,Mina,近衛(このえ) ミナ,Konoe Mina,Shanhaijing,16,September 9,166cm,Watching movies (mainly hard-boiled action),MISOM150,MISOM150,MISOM150,Sato Rina,2023/05/24,https://static.wikitide.net/bluearchivewiki/thumb/6/6b/Mina.png/266px-Mina.png
,Mine,蒼森(あおもり) ミネ,Aomori Mine,Trinity,17,November 23,168cm,Collecting medical supplies,ni02,ni02,CHILD,Horie Yui,2023/01/11,https://static.wikitide.net/bluearchivewiki/thumb/a/a0/Mine.png/266px-Mine.png
,Minori,安守(やすもり) ミノリ,Yasumori Minori,Red Winter,17,July 14,158cm,"Strikes, demonstrations, construction",二色こぺ (nishikikope),7peach,CHILD,Kikuchi Sayaka,2023/06/07,https://static.wikitide.net/bluearchivewiki/thumb/1/1a/Minori.png/266px-Minori.png
,Misaka Mikoto,御坂(みさか) 美琴(みこと),Misaka Mikoto,Tokiwadai,14,May 2,161cm,"Browsing magazines at the convenience store, collecting Gekota goods",-,ミミトケ (Mimitoke),ミミトケ (Mimitoke),Sato Rina,2023/10/24,https://static.wikitide.net/bluearchivewiki/thumb/7/76/Misaka_Mikoto.png/266px-Misaka_Mikoto.png
,Misaki,戒野(いましの) ミサキ,Imashino Misaki,Arius,16,January 13,163cm,Being alone,9ml,9ml,,Rio Tsuchiya,2022/05/24,https://static.wikitide.net/bluearchivewiki/thumb/a/ae/Misaki.png/266px-Misaki.png
,Miyako,月雪(つきゆき) ミヤコ,Tsukiyuki Miyako,SRT,15,January 7,156cm,Watching animal-related videos,日下雲 (Kusaka Kumo),YutokaMizu,,Akane Fujita,2022/03/23,https://static.wikitide.net/bluearchivewiki/thumb/3/3e/Miyako.png/266px-Miyako.png
,Miyo,桜井(さくらい) ミヨ,Sakurai Miyo,Wildhunt,16,August 24,155cm,Collecting typewriters,Paruru,Paruru,ramuri,Hanaiwa Kana,2025/09/24,https://static.wikitide.net/bluearchivewiki/thumb/7/7b/Miyo.png/266px-Miyo.png
,Miyu,霞沢(かすみざわ) ミユ,Kasumizawa Miyu,SRT,15,July 12,149cm,"Negative thoughts, escapism, pebble hunting",YutokaMizu,YutokaMizu,,Yuko Goto,2022/04/06,https://static.wikitide.net/bluearchivewiki/thumb/a/ac/Miyu.png/266px-Miyu.png
,Moe,風倉(かぜくら) モエ,Kazekura Moe,SRT,15,September 13,163cm,Fireworks,Mx2J,Mx2J,,Izawa Shiori,2022/08/24,https://static.wikitide.net/bluearchivewiki/thumb/c/cc/Moe.png/266px-Moe.png
,Momiji,秋泉(あきいずみ) モミジ,Akiizumi Momiji,Red Winter,15,August 7,135cm,Collecting manga,キキ (Kiki),キキ (Kiki),CHILD,Ōgame Asuka,2023/08/23,https://static.wikitide.net/bluearchivewiki/thumb/5/53/Momiji.png/266px-Momiji.png
,Momoi,才羽(さいば) モモイ,Saiba Momoi,Millennium,15,December 8,143cm,Video games,キキ (Kiki),キキ (Kiki),,Tokui Sora,2021/04/08,https://static.wikitide.net/bluearchivewiki/thumb/1/18/Momoi.png/266px-Momoi.png
,Mutsuki,浅黄(あさぎ) ムツキ,Asagi Mutsuki,Gehenna,16,July 29,144cm,Collecting bombs,DoReMi,DoReMi,,Ōkubo Rumi,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/0/0b/Mutsuki.png/266px-Mutsuki.png
,Nagisa,桐藤(きりふじ) ナギサ,Kirifuji Nagisa,Trinity,17,July 4,160cm,"Collecting tea leaves, making sweets, tending the garden",Fame,DoReMi,,Hayami Saori,2023/02/22,https://static.wikitide.net/bluearchivewiki/thumb/6/6a/Nagisa.png/266px-Nagisa.png
,Nagusa,御稜(ごりょう) ナグサ,Goryou Nagusa,Hyakkiyako,17,December 7,161cm,"Meditation, reading",Mx2J,Mx2J,koo3473,Sakura Kaoru,2025/05/21,https://static.wikitide.net/bluearchivewiki/thumb/b/bb/Nagusa.png/266px-Nagusa.png
,Natsu,柚鳥(ゆとり) ナツ,Yutori Natsu,Trinity,15,December 4,152cm,"Romanticizing thoughts, contemplation",kokosando,kokosando,,Maria Naganawa,2021/10/27,https://static.wikitide.net/bluearchivewiki/thumb/9/90/Natsu.png/266px-Natsu.png
,Neru,美甘(みかも) ネル,Mikamo Neru,Millennium,17,August 17,146cm,Winning,Mx2J,Mx2J,,Koshimizu Ami,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/2/24/Neru.png/266px-Neru.png
,Niko,吉野(よしの) ニコ,Yoshino Niko,SRT,17,February 11,160cm,Cooking (especially inarizushi),CHILD,CHILD,,Asami Kazuki,2026/04/21,https://static.wikitide.net/bluearchivewiki/thumb/0/02/Niko.png/266px-Niko.png
,Niya,天地(あまち) ニヤ,Amachi Niya,Hyakkiyako,17,January 1,166cm,"Doting on juniors, conspiracies",にぎりうさぎ (Nigiri Usagi),にぎりうさぎ (Nigiri Usagi),kokosando,Ueda Kana,2025/05/21,https://static.wikitide.net/bluearchivewiki/thumb/0/07/Niya.png/266px-Niya.png
,Noa,生塩(うしお) ノア,Ushio Noa,Millennium,16,April 13,161cm,"Reading, reciting",Hwansang,DoReMi,,Suzushiro Sayumi,2022/09/28,https://static.wikitide.net/bluearchivewiki/thumb/2/23/Noa.png/266px-Noa.png
,Nodoka,天見(あまみ) ノドカ,Amami Nodoka,Red Winter,16,February 20,147cm,Astronomy,日下雲 (Kusaka Kumo),日下雲 (Kusaka Kumo),,Satou Satomi,2021/04/29,https://static.wikitide.net/bluearchivewiki/thumb/e/e1/Nodoka.png/266px-Nodoka.png
,Nonomi,十六夜(いざよい) ノノミ,Izayoi Nonomi,Abydos,16,September 1,160cm,Shopping,9ml,9ml,,Miura Chiyuki,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/a/ad/Nonomi.png/266px-Nonomi.png
,Nozomi,橘(たちばな) ノゾミ,Tachibana Nozomi,Highlander,15,June 14,147cm,Breaking the speed record,CHILD,CHILD,Blanchat,Hoshitani Mio,2025/04/22,https://static.wikitide.net/bluearchivewiki/thumb/0/0b/Nozomi.png/266px-Nozomi.png
,Otogi,天神山(てんじんやま) オトギ,Tenjinyama Otogi,SRT,17,May 20,150cm,"Solving puzzles, daydreaming",MISOM150,MISOM150,,Sasaki Hitomi,2026/04/21,https://static.wikitide.net/bluearchivewiki/thumb/e/e8/Otogi.png/266px-Otogi.png
